School Name,Principal Name,Other Contacts,Email,Phone Number,Website,State/City
7I World School Shivpuri Link Road Gwalior,Richa Verma,,slr@7iworldschool.com,- 07514030777-,www.7iworldschool.com,"GWALIOR, Madhya Pradesh"
A.B.M. English High School,Mr Joseph Kj,,abmenghsh@gmail.com,- 02456223333-,www.abmenglishschool.com,"HINGOLI, Maharashtra"
A.D.Mane International Academy,Sarita Vilas Chavan,,principaladmps@ydmit.org,- 02325245388-,www.admiakagal.edu.in,"KOLHAPUR, Maharashtra"
A.P.N. C.B.S.E. Senior Secondary School,Ajay Kumar Verma,,apncbseschool@gmail.com,- 07612676370-,https://www.apncbscschool.com,"JABALPUR, Madhya Pradesh"
A.R.C. Public School,Mrs Usha Dinesh Lokhande,,arcschool.karanja@gmail.com,- 07156245111-,http://www.arcp.co.in,"WARDHA, Maharashtra"
A.S.Ms Empros International School,Mr Shaikh Ishtiyaque Ahmed,,principal@asmedu.org,- 9011004835-,www.asmgroup.edu.in,"PUNE, Maharashtra"
"A.S.Ms Empros International School, Chinchwad",Dr Sangharsha Atul Mestry,,sangharsha_mestry@rediffmail.com,- 9011004836-,www.asmedu.org,"PUNE, Maharashtra"
"AADHAAR - THE FOUNDATION, PRESCHOOL AND DAY CARE",,,aadhaarthefoundation@gmail.com,7701885840,,Play Schools
Aadharshila Academy,Dr Rinku Shrivastava,,aadharshilaacademy@yahoo.com,0734- 6555565-,,"UJJAIN, Madhya Pradesh"
Aadharshila School,Mamta Sharma,,aadharshila.cbseschool@gmail.com,079- 07923277488--,http://www.aadharshila.edu.in,"GANDHINAGAR, Gujarat"
Aaditya Vidya Vihar Higher Secondary School,Mr Abhishek Goswami,,ashokdixit@live.com,7282- 234789-,,"KHARGONE, Madhya Pradesh"
Aakar Public School,Mrs Manju Bajpai,,aakarpublicschool@gmail.com,- 07516055557--,http://www.apsgwl.in,"GWALIOR, Madhya Pradesh"
Aaradhya International School,Zakir Hussain Khilji,,aaradhyainternational2014@gmail.com,0- 0-,http://www.aaradhyainternationalschool.com,"UJJAIN, Madhya Pradesh"
Aarya Public School,Ravindra Radhakrishna Lokhande,,aryaps4455@gmail.com,0- 9765412034-,,"SOLAPUR, Maharashtra"
"Aarya Public School, Madha",Sagar Jivraj Thorat,,parveenmeher@gmail.com,- 7038052555-,,"SOLAPUR, Maharashtra"
Aarya-Veer International School,Mr.Ankit,,rishiparishad@gmail.com,- 02812784201-,http://www.aaryaveercampus.edu.in,"RAJKOT, Gujarat"
Aaryans School,Mrs Archana Kadam,,paaryans@gmail.com,020- 24699109-,http://www.aaryanschool.com,"PUNE, Maharashtra"
Aaryans World School,Vaishali Kulkarni,,principal.wj@aaryansworldschool.org,- 02024699109-,www.aaryansworldschool.com,"PUNE, Maharashtra"
Aavishkar School,Neha Shah,,info@aavishkarschool.com,079- 9033333456--,http://www.aavishkarschool.com,"GANDHINAGAR, Gujarat"
"Ab International Primary, Secondary,And Higher Secondary English School",Mrs Mini Antony Marrotickal,,abschool.pokhari@gmail.com,- 02402482955-,,"AURANGABAD, Maharashtra"
ABHAT TARA PRE SCHOOL & DAY CARE,,,info@abhattaraschool.in,8860811422,,Play Schools
Abhinav Bharati High School,,,,,,Kolkata
"Abhinav Education Societys Vasundhara Academy, Akole",Mr Aher L J,,vasundhara.academy2016@gmail.com,2424- 02424221283-,http://www.vasundharaacademy.org,"AHMEDNAGAR, Maharashtra"
Abhinav English School,Dr Mrs Vaishali Kulkarni,,ashwinimujumdar23@gmail.com,020- 20244143-,http://www.abhinaveducation.org,"PUNE, Maharashtra"
Abhinav Public School,Mrs Rita Samal,,abhinavpublicschoolcbse@gmail.com,- 9067546711-,,"PUNE, Maharashtra"
